name,chinese,english,math,history,health
student1,81,100,98,77,68
student2,57,96,53,86,54
student3,60,86,60,95,52
student4,67,53,83,70,91
student5,81,61,68,100,52
student6,91,53,84,75,97
student7,85,83,74,78,69
student8,55,80,84,97,51
student9,95,68,84,83,76
student10,96,60,83,88,73
student11,77,72,62,84,81
student12,97,55,73,62,53
student13,84,98,79,94,96
student14,93,78,56,60,93
student15,60,85,73,65,59
student16,72,75,85,74,98
student17,74,62,54,76,67
student18,95,76,82,69,52
student19,97,72,84,59,97
student20,59,66,76,83,85
student21,52,99,67,79,75
student22,66,95,90,100,86
student23,98,90,70,82,62
student24,85,78,58,82,68
student25,63,82,66,93,78
student26,91,88,97,86,93
student27,96,61,85,75,95
student28,55,87,97,79,60
student29,80,60,61,78,68
student30,95,65,87,55,93
student31,84,57,97,77,60
student32,99,55,98,83,65
student33,75,51,60,100,79
student34,92,93,79,67,100
student35,82,95,59,95,61
student36,96,55,66,86,72
student37,100,81,59,56,87
student38,54,65,96,73,87
student39,80,96,88,50,51
student40,92,77,75,86,84
student41,99,92,92,62,77
student42,59,92,68,83,97
student43,93,51,92,89,82
student44,94,73,95,64,60
student45,57,76,69,76,86
student46,87,57,86,92,58
student47,60,80,82,71,61
student48,61,50,58,64,94
student49,52,80,51,62,65
student50,94,66,92,77,73
